captain,formation,budget,gw1_score,5gw_estimated,FWD1,FWD1_role,FWD1_selected,FWD1_price,FWD1_score,FWD1_club,GK1,GK1_role,GK1_selected,GK1_price,GK1_score,GK1_club,DEF1,DEF1_role,DEF1_selected,DEF1_price,DEF1_score,DEF1_club,DEF2,DEF2_role,DEF2_selected,DEF2_price,DEF2_score,DEF2_club,DEF3,DEF3_role,DEF3_selected,DEF3_price,DEF3_score,DEF3_club,MID1,MID1_role,MID1_selected,MID1_price,MID1_score,MID1_club,MID2,MID2_role,MID2_selected,MID2_price,MID2_score,MID2_club,MID3,MID3_role,MID3_selected,MID3_price,MID3_score,MID3_club,MID4,MID4_role,MID4_selected,MID4_price,MID4_score,MID4_club,FWD2,FWD2_role,FWD2_selected,FWD2_price,FWD2_score,FWD2_club,FWD3,FWD3_role,FWD3_selected,FWD3_price,FWD3_score,FWD3_club,BENCH1,BENCH1_role,BENCH1_selected,BENCH1_price,BENCH1_score,BENCH1_club,BENCH2,BENCH2_role,BENCH2_selected,BENCH2_price,BENCH2_score,BENCH2_club,BENCH3,BENCH3_role,BENCH3_selected,BENCH3_price,BENCH3_score,BENCH3_club,BENCH4,BENCH4_role,BENCH4_selected,BENCH4_price,BENCH4_score,BENCH4_club,MID5,MID5_role,MID5_selected,MID5_price,MID5_score,MID5_club
Dominik Szoboszlai,3-4-3,99.0,61.0,314.3,Alexander Isak,FWD,1,10.5,6.260998637770898,Newcastle,Bart Verbruggen,GK,1,4.5,2.561213788133789,Brighton,Marc Cucurella Saseta,DEF,1,6.0,3.857755097734471,Chelsea,David Mota Veiga Teixeira do Carmo,DEF,1,4.5,3.802601449985117,Nott'm Forest,Ola Aina,DEF,1,5.0,3.75248776577459,Nott'm Forest,Dominik Szoboszlai,MID,1,6.5,4.431402882012899,Liverpool,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Chris Wood,FWD,1,7.5,6.165001449985117,Nott'm Forest,Ashley Barnes,FWD,1.0,4.5,3.7945602577873254,Burnley,Kjell Scherpen,GK,0,4.0,0.25,Brighton,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,El Hadji Malick Diouf,DEF,0,4.5,2.6612023364662005,West Ham,,,,,,
Alexander Isak,3-4-3,99.0,61.0,314.2,Alexander Isak,FWD,1,10.5,6.260998637770898,Newcastle,Alisson Becker,GK,1,5.5,3.4871123556971084,Liverpool,Virgil van Dijk,DEF,1,6.0,4.2122365662234245,Liverpool,Nikola Milenković,DEF,1,5.5,4.178454081564064,Nott'm Forest,Milos Kerkez,DEF,1,6.0,3.986724987276056,Liverpool,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Omar Marmoush,MID,1,8.5,5.372046303723097,Man City,Morgan Gibbs-White,MID,1,7.5,4.639990923669327,Nott'm Forest,Chris Wood,FWD,1,7.5,6.165001449985117,Nott'm Forest,Liam Delap,FWD,1.0,6.5,4.234256150366049,Chelsea,Krisztián Hegyi,GK,0,4.0,0.7326148524436265,West Ham,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,El Hadji Malick Diouf,DEF,0,4.5,2.6612023364662005,West Ham,,,,,,
Jarrod Bowen,3-5-2,99.0,61.0,314.1,Jarrod Bowen,FWD,1,8.0,5.1275918101504105,West Ham,Bart Verbruggen,GK,1,4.5,2.561213788133789,Brighton,Marc Cucurella Saseta,DEF,1,6.0,3.857755097734471,Chelsea,David Mota Veiga Teixeira do Carmo,DEF,1,4.5,3.802601449985117,Nott'm Forest,Ola Aina,DEF,1,5.0,3.75248776577459,Nott'm Forest,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Florian Wirtz,MID,1,8.5,5.494981829381319,Liverpool,Ashley Barnes,FWD,1,4.5,3.7945602577873254,Burnley,,,,,,,Kjell Scherpen,GK,0,4.0,0.25,Brighton,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,El Hadji Malick Diouf,DEF,0,4.5,2.6612023364662005,West Ham,,MID,1.0,8.0,5.494981829381319,Liverpool
Dominik Szoboszlai,3-4-3,99.0,61.0,314.0,Alexander Isak,FWD,1,10.5,6.260998637770898,Newcastle,José Malheiro de Sá,GK,1,4.5,2.5,Wolves,Marc Cucurella Saseta,DEF,1,6.0,3.857755097734471,Chelsea,David Mota Veiga Teixeira do Carmo,DEF,1,4.5,3.802601449985117,Nott'm Forest,Ola Aina,DEF,1,5.0,3.75248776577459,Nott'm Forest,Dominik Szoboszlai,MID,1,6.5,4.431402882012899,Liverpool,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Chris Wood,FWD,1,7.5,6.165001449985117,Nott'm Forest,Ashley Barnes,FWD,1.0,4.5,3.7945602577873254,Burnley,Krisztián Hegyi,GK,0,4.0,0.7326148524436265,West Ham,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,El Hadji Malick Diouf,DEF,0,4.5,2.6612023364662005,West Ham,,,,,,
Jacob Murphy,3-4-3,99.0,61.0,314.0,Alexander Isak,FWD,1,10.5,6.260998637770898,Newcastle,Bart Verbruggen,GK,1,4.5,2.561213788133789,Brighton,David Mota Veiga Teixeira do Carmo,DEF,1,4.5,3.802601449985117,Nott'm Forest,Ola Aina,DEF,1,5.0,3.75248776577459,Nott'm Forest,William Saliba,DEF,1,6.0,3.54378082112819,Arsenal,Jacob Murphy,MID,1,6.5,4.55984705882353,Newcastle,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Chris Wood,FWD,1,7.5,6.165001449985117,Nott'm Forest,Ashley Barnes,FWD,1.0,4.5,3.7945602577873254,Burnley,Kjell Scherpen,GK,0,4.0,0.25,Brighton,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,El Hadji Malick Diouf,DEF,0,4.5,2.6612023364662005,West Ham,,,,,,
Cole Palmer,3-4-3,99.0,61.0,313.9,Alexander Isak,FWD,1,10.5,6.260998637770898,Newcastle,Alisson Becker,GK,1,5.5,3.4871123556971084,Liverpool,Virgil van Dijk,DEF,1,6.0,4.2122365662234245,Liverpool,Nikola Milenković,DEF,1,5.5,4.178454081564064,Nott'm Forest,Milos Kerkez,DEF,1,6.0,3.986724987276056,Liverpool,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Omar Marmoush,MID,1,8.5,5.372046303723097,Man City,Morgan Gibbs-White,MID,1,7.5,4.639990923669327,Nott'm Forest,Chris Wood,FWD,1,7.5,6.165001449985117,Nott'm Forest,Liam Delap,FWD,1.0,6.5,4.234256150366049,Chelsea,Krisztián Hegyi,GK,0,4.0,0.7326148524436265,West Ham,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,El Hadji Malick Diouf,DEF,0,4.5,2.6612023364662005,West Ham,,,,,,
Jarrod Bowen,3-5-2,99.0,60.9,313.8,Jarrod Bowen,FWD,1,8.0,5.1275918101504105,West Ham,José Malheiro de Sá,GK,1,4.5,2.5,Wolves,Marc Cucurella Saseta,DEF,1,6.0,3.857755097734471,Chelsea,David Mota Veiga Teixeira do Carmo,DEF,1,4.5,3.802601449985117,Nott'm Forest,Ola Aina,DEF,1,5.0,3.75248776577459,Nott'm Forest,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Florian Wirtz,MID,1,8.5,5.494981829381319,Liverpool,Ashley Barnes,FWD,1,4.5,3.7945602577873254,Burnley,,,,,,,Krisztián Hegyi,GK,0,4.0,0.7326148524436265,West Ham,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,El Hadji Malick Diouf,DEF,0,4.5,2.6612023364662005,West Ham,,MID,1.0,8.0,5.494981829381319,Liverpool
,3-4-3,98.5,60.9,313.8,Alexander Isak,FWD,1,10.5,6.260998637770898,Newcastle,Ederson Santana de Moraes,GK,1,5.5,3.594582619512572,Man City,Virgil van Dijk,DEF,1,6.0,4.2122365662234245,Liverpool,Nikola Milenković,DEF,1,5.5,4.178454081564064,Nott'm Forest,Milos Kerkez,DEF,1,6.0,3.986724987276056,Liverpool,,MID,1,8.0,5.494981829381319,Liverpool,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Omar Marmoush,MID,1,8.5,5.372046303723097,Man City,Chris Wood,FWD,1,7.5,6.165001449985117,Nott'm Forest,Joël Piroe,FWD,1.0,5.5,3.9765258685174474,Leeds,Krisztián Hegyi,GK,0,4.0,0.7326148524436265,West Ham,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,David Mota Veiga Teixeira do Carmo,DEF,0,4.5,3.802601449985117,Nott'm Forest,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,,,,,,
Dominik Szoboszlai,3-4-3,99.5,60.9,313.8,Alexander Isak,FWD,1,10.5,6.260998637770898,Newcastle,Robin Roefs,GK,1,4.5,2.7707408214285367,Sunderland,David Mota Veiga Teixeira do Carmo,DEF,1,4.5,3.802601449985117,Nott'm Forest,Ola Aina,DEF,1,5.0,3.75248776577459,Nott'm Forest,William Saliba,DEF,1,6.0,3.54378082112819,Arsenal,Dominik Szoboszlai,MID,1,6.5,4.431402882012899,Liverpool,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Chris Wood,FWD,1,7.5,6.165001449985117,Nott'm Forest,Ashley Barnes,FWD,1.0,4.5,3.7945602577873254,Burnley,Anthony Patterson,GK,0,4.5,0.3263777791353208,Sunderland,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,El Hadji Malick Diouf,DEF,0,4.5,2.6612023364662005,West Ham,,,,,,
Florian Wirtz,3-4-3,99.0,60.9,313.8,Alexander Isak,FWD,1,10.5,6.260998637770898,Newcastle,Ederson Santana de Moraes,GK,1,5.5,3.594582619512572,Man City,Virgil van Dijk,DEF,1,6.0,4.2122365662234245,Liverpool,Nikola Milenković,DEF,1,5.5,4.178454081564064,Nott'm Forest,Milos Kerkez,DEF,1,6.0,3.986724987276056,Liverpool,Florian Wirtz,MID,1,8.5,5.494981829381319,Liverpool,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Omar Marmoush,MID,1,8.5,5.372046303723097,Man City,Chris Wood,FWD,1,7.5,6.165001449985117,Nott'm Forest,Joël Piroe,FWD,1.0,5.5,3.9765258685174474,Leeds,Krisztián Hegyi,GK,0,4.0,0.7326148524436265,West Ham,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,David Mota Veiga Teixeira do Carmo,DEF,0,4.5,3.802601449985117,Nott'm Forest,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,,,,,,
Yoane Wissa,3-5-2,99.5,60.9,313.7,Yoane Wissa,FWD,1,7.5,4.653093286856988,Brentford,Robert Lynch Sánchez,GK,1,5.0,3.740449834576576,Chelsea,David Mota Veiga Teixeira do Carmo,DEF,1,4.5,3.802601449985117,Nott'm Forest,Ola Aina,DEF,1,5.0,3.75248776577459,Nott'm Forest,William Saliba,DEF,1,6.0,3.54378082112819,Arsenal,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Florian Wirtz,MID,1,8.5,5.494981829381319,Liverpool,Ashley Barnes,FWD,1,4.5,3.7945602577873254,Burnley,,,,,,,Filip Jörgensen,GK,0,4.5,1.2,Chelsea,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,El Hadji Malick Diouf,DEF,0,4.5,2.6612023364662005,West Ham,,MID,1.0,8.0,5.494981829381319,Liverpool
Jacob Murphy,3-4-3,99.0,60.9,313.7,Alexander Isak,FWD,1,10.5,6.260998637770898,Newcastle,José Malheiro de Sá,GK,1,4.5,2.5,Wolves,David Mota Veiga Teixeira do Carmo,DEF,1,4.5,3.802601449985117,Nott'm Forest,Ola Aina,DEF,1,5.0,3.75248776577459,Nott'm Forest,William Saliba,DEF,1,6.0,3.54378082112819,Arsenal,Jacob Murphy,MID,1,6.5,4.55984705882353,Newcastle,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Chris Wood,FWD,1,7.5,6.165001449985117,Nott'm Forest,Ashley Barnes,FWD,1.0,4.5,3.7945602577873254,Burnley,Krisztián Hegyi,GK,0,4.0,0.7326148524436265,West Ham,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,El Hadji Malick Diouf,DEF,0,4.5,2.6612023364662005,West Ham,,,,,,
Chris Wood,3-4-3,99.0,60.9,313.7,Chris Wood,FWD,1,7.5,6.165001449985117,Nott'm Forest,Alisson Becker,GK,1,5.5,3.4871123556971084,Liverpool,Virgil van Dijk,DEF,1,6.0,4.2122365662234245,Liverpool,Nikola Milenković,DEF,1,5.5,4.178454081564064,Nott'm Forest,Milos Kerkez,DEF,1,6.0,3.986724987276056,Liverpool,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Omar Marmoush,MID,1,8.5,5.372046303723097,Man City,Morgan Gibbs-White,MID,1,7.5,4.639990923669327,Nott'm Forest,Alexander Isak,FWD,1,10.5,6.260998637770898,Newcastle,Liam Delap,FWD,1.0,6.5,4.234256150366049,Chelsea,Krisztián Hegyi,GK,0,4.0,0.7326148524436265,West Ham,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,El Hadji Malick Diouf,DEF,0,4.5,2.6612023364662005,West Ham,,,,,,
Jarrod Bowen,3-5-2,99.5,60.9,313.6,Jarrod Bowen,FWD,1,8.0,5.1275918101504105,West Ham,Robin Roefs,GK,1,4.5,2.7707408214285367,Sunderland,David Mota Veiga Teixeira do Carmo,DEF,1,4.5,3.802601449985117,Nott'm Forest,Ola Aina,DEF,1,5.0,3.75248776577459,Nott'm Forest,William Saliba,DEF,1,6.0,3.54378082112819,Arsenal,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Florian Wirtz,MID,1,8.5,5.494981829381319,Liverpool,Ashley Barnes,FWD,1,4.5,3.7945602577873254,Burnley,,,,,,,Anthony Patterson,GK,0,4.5,0.3263777791353208,Sunderland,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,El Hadji Malick Diouf,DEF,0,4.5,2.6612023364662005,West Ham,,MID,1.0,8.0,5.494981829381319,Liverpool
Dominik Szoboszlai,3-4-3,99.0,60.8,313.0,Alexander Isak,FWD,1,10.5,6.260998637770898,Newcastle,Max Weiß,GK,1,4.5,2.6239867024704617,Burnley,David Mota Veiga Teixeira do Carmo,DEF,1,4.5,3.802601449985117,Nott'm Forest,Ola Aina,DEF,1,5.0,3.75248776577459,Nott'm Forest,William Saliba,DEF,1,6.0,3.54378082112819,Arsenal,Dominik Szoboszlai,MID,1,6.5,4.431402882012899,Liverpool,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Chris Wood,FWD,1,7.5,6.165001449985117,Nott'm Forest,Ashley Barnes,FWD,1.0,4.5,3.7945602577873254,Burnley,Václav Hladký,GK,0,4.0,0.3898222341568206,Burnley,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,El Hadji Malick Diouf,DEF,0,4.5,2.6612023364662005,West Ham,,,,,,
Dominik Szoboszlai,3-4-3,99.0,60.7,312.8,Alexander Isak,FWD,1,10.5,6.260998637770898,Newcastle,Matz Sels,GK,1,5.0,4.372896186827221,Nott'm Forest,Virgil van Dijk,DEF,1,6.0,4.2122365662234245,Liverpool,Nikola Milenković,DEF,1,5.5,4.178454081564064,Nott'm Forest,Milos Kerkez,DEF,1,6.0,3.986724987276056,Liverpool,Dominik Szoboszlai,MID,1,6.5,4.431402882012899,Liverpool,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Omar Marmoush,MID,1,8.5,5.372046303723097,Man City,Chris Wood,FWD,1,7.5,6.165001449985117,Nott'm Forest,Jarrod Bowen,FWD,1.0,8.0,5.1275918101504105,West Ham,Krisztián Hegyi,GK,0,4.0,0.7326148524436265,West Ham,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,El Hadji Malick Diouf,DEF,0,4.5,2.6612023364662005,West Ham,,,,,,
,3-4-3,98.5,60.7,312.8,Alexander Isak,FWD,1,10.5,6.260998637770898,Newcastle,Alisson Becker,GK,1,5.5,3.4871123556971084,Liverpool,Virgil van Dijk,DEF,1,6.0,4.2122365662234245,Liverpool,Nikola Milenković,DEF,1,5.5,4.178454081564064,Nott'm Forest,Rayan Aït-Nouri,DEF,1,6.0,3.894201566880992,Man City,,MID,1,8.0,5.494981829381319,Liverpool,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Omar Marmoush,MID,1,8.5,5.372046303723097,Man City,Chris Wood,FWD,1,7.5,6.165001449985117,Nott'm Forest,Joël Piroe,FWD,1.0,5.5,3.9765258685174474,Leeds,Krisztián Hegyi,GK,0,4.0,0.7326148524436265,West Ham,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,David Mota Veiga Teixeira do Carmo,DEF,0,4.5,3.802601449985117,Nott'm Forest,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,,,,,,
Bryan Mbeumo,3-4-3,99.0,60.7,312.8,Alexander Isak,FWD,1,10.5,6.260998637770898,Newcastle,Alisson Becker,GK,1,5.5,3.4871123556971084,Liverpool,Virgil van Dijk,DEF,1,6.0,4.2122365662234245,Liverpool,Nikola Milenković,DEF,1,5.5,4.178454081564064,Nott'm Forest,Milos Kerkez,DEF,1,6.0,3.986724987276056,Liverpool,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Omar Marmoush,MID,1,8.5,5.372046303723097,Man City,Morgan Gibbs-White,MID,1,7.5,4.639990923669327,Nott'm Forest,Chris Wood,FWD,1,7.5,6.165001449985117,Nott'm Forest,Liam Delap,FWD,1.0,6.5,4.234256150366049,Chelsea,Krisztián Hegyi,GK,0,4.0,0.7326148524436265,West Ham,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,El Hadji Malick Diouf,DEF,0,4.5,2.6612023364662005,West Ham,,,,,,
Florian Wirtz,3-4-3,99.0,60.7,312.8,Alexander Isak,FWD,1,10.5,6.260998637770898,Newcastle,Alisson Becker,GK,1,5.5,3.4871123556971084,Liverpool,Virgil van Dijk,DEF,1,6.0,4.2122365662234245,Liverpool,Nikola Milenković,DEF,1,5.5,4.178454081564064,Nott'm Forest,Rayan Aït-Nouri,DEF,1,6.0,3.894201566880992,Man City,Florian Wirtz,MID,1,8.5,5.494981829381319,Liverpool,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Omar Marmoush,MID,1,8.5,5.372046303723097,Man City,Chris Wood,FWD,1,7.5,6.165001449985117,Nott'm Forest,Joël Piroe,FWD,1.0,5.5,3.9765258685174474,Leeds,Krisztián Hegyi,GK,0,4.0,0.7326148524436265,West Ham,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,David Mota Veiga Teixeira do Carmo,DEF,0,4.5,3.802601449985117,Nott'm Forest,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,,,,,,
Jarrod Bowen,3-5-2,99.0,60.7,312.8,Jarrod Bowen,FWD,1,8.0,5.1275918101504105,West Ham,Max Weiß,GK,1,4.5,2.6239867024704617,Burnley,David Mota Veiga Teixeira do Carmo,DEF,1,4.5,3.802601449985117,Nott'm Forest,Ola Aina,DEF,1,5.0,3.75248776577459,Nott'm Forest,William Saliba,DEF,1,6.0,3.54378082112819,Arsenal,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Florian Wirtz,MID,1,8.5,5.494981829381319,Liverpool,Ashley Barnes,FWD,1,4.5,3.7945602577873254,Burnley,,,,,,,Václav Hladký,GK,0,4.0,0.3898222341568206,Burnley,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,El Hadji Malick Diouf,DEF,0,4.5,2.6612023364662005,West Ham,,MID,1.0,8.0,5.494981829381319,Liverpool
Dominik Szoboszlai,3-4-3,99.0,60.7,312.7,Alexander Isak,FWD,1,10.5,6.260998637770898,Newcastle,Bart Verbruggen,GK,1,4.5,2.561213788133789,Brighton,David Mota Veiga Teixeira do Carmo,DEF,1,4.5,3.802601449985117,Nott'm Forest,Ola Aina,DEF,1,5.0,3.75248776577459,Nott'm Forest,William Saliba,DEF,1,6.0,3.54378082112819,Arsenal,Dominik Szoboszlai,MID,1,6.5,4.431402882012899,Liverpool,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Chris Wood,FWD,1,7.5,6.165001449985117,Nott'm Forest,Ashley Barnes,FWD,1.0,4.5,3.7945602577873254,Burnley,Kjell Scherpen,GK,0,4.0,0.25,Brighton,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,El Hadji Malick Diouf,DEF,0,4.5,2.6612023364662005,West Ham,,,,,,
Jarrod Bowen,3-5-2,99.0,60.7,312.5,Jarrod Bowen,FWD,1,8.0,5.1275918101504105,West Ham,Bart Verbruggen,GK,1,4.5,2.561213788133789,Brighton,David Mota Veiga Teixeira do Carmo,DEF,1,4.5,3.802601449985117,Nott'm Forest,Ola Aina,DEF,1,5.0,3.75248776577459,Nott'm Forest,William Saliba,DEF,1,6.0,3.54378082112819,Arsenal,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Florian Wirtz,MID,1,8.5,5.494981829381319,Liverpool,Ashley Barnes,FWD,1,4.5,3.7945602577873254,Burnley,,,,,,,Kjell Scherpen,GK,0,4.0,0.25,Brighton,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,El Hadji Malick Diouf,DEF,0,4.5,2.6612023364662005,West Ham,,MID,1.0,8.0,5.494981829381319,Liverpool
Dominik Szoboszlai,3-4-3,99.0,60.7,312.4,Alexander Isak,FWD,1,10.5,6.260998637770898,Newcastle,José Malheiro de Sá,GK,1,4.5,2.5,Wolves,David Mota Veiga Teixeira do Carmo,DEF,1,4.5,3.802601449985117,Nott'm Forest,Ola Aina,DEF,1,5.0,3.75248776577459,Nott'm Forest,William Saliba,DEF,1,6.0,3.54378082112819,Arsenal,Dominik Szoboszlai,MID,1,6.5,4.431402882012899,Liverpool,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Chris Wood,FWD,1,7.5,6.165001449985117,Nott'm Forest,Ashley Barnes,FWD,1.0,4.5,3.7945602577873254,Burnley,Krisztián Hegyi,GK,0,4.0,0.7326148524436265,West Ham,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,El Hadji Malick Diouf,DEF,0,4.5,2.6612023364662005,West Ham,,,,,,
Liam Delap,3-4-3,99.0,60.6,312.2,Liam Delap,FWD,1,6.5,4.234256150366049,Chelsea,Robert Lynch Sánchez,GK,1,5.0,3.740449834576576,Chelsea,Marc Cucurella Saseta,DEF,1,6.0,3.857755097734471,Chelsea,David Mota Veiga Teixeira do Carmo,DEF,1,4.5,3.802601449985117,Nott'm Forest,Ola Aina,DEF,1,5.0,3.75248776577459,Nott'm Forest,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Florian Wirtz,MID,1,8.5,5.494981829381319,Liverpool,,MID,1,8.0,5.494981829381319,Liverpool,Alexander Isak,FWD,1,10.5,6.260998637770898,Newcastle,Joël Piroe,FWD,1.0,5.5,3.9765258685174474,Leeds,Krisztián Hegyi,GK,0,4.0,0.7326148524436265,West Ham,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,El Hadji Malick Diouf,DEF,0,4.5,2.6612023364662005,West Ham,,,,,,
